user_id,first_name,last_name,position,department,location,contract_type,seniority
1,Henri,Gillet,Intern,Department Intern,Marseille,CDI,Senior
2,Marc,Perrot,Accountant,Department Finance,Paris,CDD,Medium
3,Margaux,Guérin,Researcher,Department R&D,Paris,Apprentissage,Medium
4,Éléonore,Bouchet,Engineer,Department R&D,Marseille,Stage,Junior
5,Laurent,Lemaître,Scientist,Department R&D,Lyon,CDD,Medium
6,Audrey,Mendès,Account Manager,Department Sales,Nantes,CDD,Senior
7,Simone,Chauvet,Sales Rep,Department Sales,Marseille,Stage,Junior
8,Colette,Giraud,Payroll Specialist,Department HR,Nantes,CDI,Junior
9,Aimée,Thomas,Researcher,Department R&D,Nantes,CDI,Medium
10,Roger,Baudry,Product Manager,Department Product,Strasbourg,CDD,Senior
11,Odette,Le Goff,Engineer,Department R&D,Marseille,Apprentissage,Senior
12,Dominique,Gilbert,Legal Counsel,Department Legal,Marseille,Stage,Junior
13,Emmanuel,Hebert,Architect,Department IT,Toulouse,CDI,Lead
14,Laurence,Jacques,Product Manager,Department Product,Montpellier,Interim,Senior
15,Madeleine,Richard,Payroll Specialist,Department HR,Montpellier,CDI,Medium
16,Sébastien,Bouchet,Payroll Manager,Department Finance,Marseille,CDD,Senior
17,Océane,Mercier,Business Analyst,Department Product,Toulouse,CDD,Junior
18,Julien,Mercier,Security Guard,Department Facilities,Rouen,CDI,Medium
19,David,Gauthier,Sales Rep,Department Sales,Bordeaux,Apprentissage,Junior
20,Joséphine,Navarro,Financial Analyst,Department Finance,Nantes,CDI,Junior
21,Anaïs,Potier,Intern,Department Intern,Toulouse,CDI,Senior
22,Chantal,François,Architect,Department IT,Bordeaux,CDI,Senior
23,Aurore,Laroche,Account Manager,Department Sales,Rouen,CDI,Medium
24,Alphonse,Carlier,IT Support,Department IT,Montpellier,CDD,Senior
25,Marthe,Valentin,Security Guard,Department Facilities,Marseille,CDI,Junior
26,Henriette,Tessier,Payroll Manager,Department Finance,Lyon,Apprentissage,Junior
27,Louise,Vincent,Account Manager,Department Sales,Rouen,Apprentissage,Medium
28,Virginie,Pons,Dev,Department IT,Marseille,CDI,Junior
29,Victor,Morin,Product Manager,Department Product,Bordeaux,CDI,Junior
30,Marie,Peron,Sales Rep,Department Sales,Paris,CDI,Junior
31,Michelle,Leleu,Legal Counsel,Department Legal,Lyon,CDI,Medium
32,Agathe,Schneider,Security Engineer,Department IT,Lyon,Stage,Junior
33,Lucas,Lemoine,Scientist,Department R&D,Paris,CDI,Lead
34,Victor,Roy,Legal Counsel,Department Legal,Rouen,CDI,Junior
35,Auguste,Royer,Account Manager,Department Sales,Paris,CDI,Junior
36,Zoé,Pasquier,Scientist,Department R&D,Strasbourg,CDI,Junior
37,Geneviève,Valette,Architect,Department IT,Montpellier,CDD,Medium
38,Charles,Boulanger,Payroll Manager,Department Finance,Strasbourg,CDD,Junior
39,Émilie,Clerc,Facility Manager,Department Facilities,Paris,Stage,Senior
40,Noël,Raynaud,Sales Rep,Department Sales,Marseille,CDI,Lead
41,Hélène,Blanchet,Dev,Department IT,Bordeaux,Stage,Junior
42,François,Payet,DevOps,Department IT,Bordeaux,CDI,Junior
43,Jacques,Chevallier,Security Guard,Department Facilities,Toulouse,CDI,Medium
44,Arthur,Rocher,Cleaner,Department Facilities,Strasbourg,CDI,Medium
45,Nicole,Bazin,Recruiter,Department HR,Rouen,CDD,Junior
46,Martine,Ollivier,Sales Manager,Department Sales,Rouen,Stage,Junior
47,Auguste,Camus,Payroll Manager,Department Finance,Lyon,CDI,Senior
48,Margaux,Hamon,Accountant,Department Finance,Toulouse,CDI,Junior
49,Agathe,Moreno,DBA,Department IT,Nantes,CDD,Junior
50,Nicole,Roussel,DevOps,Department IT,Toulouse,CDI,Junior
51,Rémy,Meunier,Researcher,Department R&D,Nantes,CDD,Medium
52,Marcelle,Gimenez,Cleaner,Department Facilities,Strasbourg,CDD,Junior
53,Valentine,Ribeiro,Product Manager,Department Product,Montpellier,Apprentissage,Medium
54,Olivier,Baron,Legal Counsel,Department Legal,Marseille,CDI,Medium
55,Théodore,Laine,Security Engineer,Department IT,Bordeaux,CDI,Junior
56,Françoise,Joseph,Product Manager,Department Product,Strasbourg,CDI,Junior
57,Lucas,Couturier,DBA,Department IT,Montpellier,Stage,Lead
58,Aurore,Dijoux,Engineer,Department R&D,Rouen,CDI,Senior
59,Jules,Georges,Engineer,Department R&D,Marseille,CDI,Junior
60,Joseph,Gaudin,Researcher,Department R&D,Strasbourg,CDI,Junior
61,Colette,Peltier,Architect,Department IT,Montpellier,CDI,Medium
62,William,Le Goff,Legal Counsel,Department Legal,Toulouse,Stage,Junior
63,Guillaume,Fleury,Financial Analyst,Department Finance,Strasbourg,CDI,Junior
64,Philippe,Guillou,Recruiter,Department HR,Toulouse,Apprentissage,Junior
65,Aimé,Lefèvre,Researcher,Department R&D,Paris,CDD,Junior
66,René,Marin,Account Manager,Department Sales,Bordeaux,CDD,Junior
67,Jules,Fouquet,Security Engineer,Department IT,Rouen,CDI,Junior
68,Margot,Clerc,HR Manager,Department HR,Bordeaux,CDD,Junior
69,Émile,Didier,DBA,Department IT,Paris,CDI,Junior
70,André,Mathieu,Security Engineer,Department IT,Nantes,Stage,Junior
71,Bertrand,Voisin,Architect,Department IT,Bordeaux,Stage,Junior
72,Paul,Lopes,Accountant,Department Finance,Lyon,CDD,Senior
73,Marc,Blanchet,Scientist,Department R&D,Toulouse,CDI,Medium
74,Julien,Richard,Financial Analyst,Department Finance,Bordeaux,Apprentissage,Senior
75,Astrid,David,Cleaner,Department Facilities,Montpellier,Stage,Junior
76,Nicolas,Faure,Architect,Department IT,Paris,Interim,Junior
77,Alexandre,Lemaire,Business Analyst,Department Product,Bordeaux,Stage,Senior
78,Raymond,Valentin,DevOps,Department IT,Toulouse,CDI,Medium
79,Bernard,Gilbert,Receptionist,Department Facilities,Montpellier,Apprentissage,Medium
80,Marcelle,Menard,DBA,Department IT,Nantes,CDI,Medium
81,Claire,Bègue,Receptionist,Department Facilities,Lyon,Apprentissage,Junior
82,Henri,Mace,Sales Manager,Department Sales,Nantes,CDI,Junior
83,Étienne,Moulin,Security Engineer,Department IT,Nantes,Stage,Medium
84,Josette,Hubert,IT Support,Department IT,Bordeaux,CDI,Medium
85,Chantal,Gros,Cleaner,Department Facilities,Strasbourg,Apprentissage,Medium
86,Catherine,Mahe,IT Support,Department IT,Toulouse,CDI,Medium
87,Alix,Boulanger,Scientist,Department R&D,Paris,CDI,Junior
88,Thomas,Rodrigues,Payroll Manager,Department Finance,Paris,CDI,Senior
89,Emmanuel,Jacquet,DevOps,Department IT,Toulouse,CDD,Medium
90,Théophile,Girard,Payroll Manager,Department Finance,Rouen,Interim,Medium
91,Lucy,Klein,Dev,Department IT,Lyon,CDI,Junior
92,Sébastien,Ferrand,IT Support,Department IT,Paris,CDI,Senior
93,Andrée,Guillou,Engineer,Department R&D,Toulouse,CDD,Junior
94,Gilbert,Guillon,DBA,Department IT,Bordeaux,Interim,Medium
95,Élisabeth,Navarro,Security Guard,Department Facilities,Strasbourg,CDI,Junior
96,Constance,Vaillant,Financial Analyst,Department Finance,Strasbourg,CDD,Junior
97,David,Huet,Sales Rep,Department Sales,Strasbourg,CDI,Junior
98,Céline,Delorme,Account Manager,Department Sales,Marseille,CDI,Senior
99,Philippe,Vidal,Legal Counsel,Department Legal,Nantes,CDI,Medium
100,David,Tessier,Architect,Department IT,Strasbourg,CDI,Medium
101,Hortense,Bouvier,Account Manager,Department Sales,Nantes,CDD,Senior
102,Valérie,Bouvet,Recruiter,Department HR,Montpellier,CDD,Junior
103,Geneviève,Peltier,Architect,Department IT,Rouen,CDI,Medium
104,Océane,Dias,Facility Manager,Department Facilities,Paris,CDI,Junior
105,Pénélope,Weiss,Security Engineer,Department IT,Bordeaux,CDI,Executive
106,Nicolas,Mendès,IT Support,Department IT,Marseille,Stage,Junior
107,Maryse,Riou,Scientist,Department R&D,Rouen,CDI,Junior
108,Céline,Diallo,Researcher,Department R&D,Nantes,CDD,Junior
109,Matthieu,Loiseau,IT Support,Department IT,Nantes,Stage,Junior
110,Nicole,David,Payroll Specialist,Department HR,Lyon,Interim,Medium
111,Claudine,Dupuis,Researcher,Department R&D,Bordeaux,CDI,Junior
112,Franck,Tessier,Legal Counsel,Department Legal,Bordeaux,Apprentissage,Junior
113,Thomas,Renard,Account Manager,Department Sales,Bordeaux,CDI,Junior
114,Arnaude,Le Roux,Accountant,Department Finance,Rouen,CDI,Junior
115,Christiane,Garnier,Security Engineer,Department IT,Nantes,Apprentissage,Junior
116,Clémence,Lemonnier,Facility Manager,Department Facilities,Strasbourg,CDD,Junior
117,Nathalie,Chauveau,Product Manager,Department Product,Toulouse,CDI,Medium
118,Antoinette,Leclercq,HR Manager,Department HR,Rouen,CDI,Junior
119,Aurélie,Valette,Business Analyst,Department Product,Lyon,Stage,Senior
120,Renée,Guichard,Business Analyst,Department Product,Montpellier,CDI,Medium
121,Nathalie,Bonneau,DBA,Department IT,Toulouse,CDI,Junior
122,Christine,Klein,Business Analyst,Department Product,Strasbourg,Stage,Junior
123,Léon,Lopes,HR Manager,Department HR,Bordeaux,CDD,Junior
124,Andrée,Leroy,Sales Manager,Department Sales,Bordeaux,CDD,Senior
125,Claude,Imbert,Sysadmin,Department IT,Lyon,Stage,Medium
126,Adèle,Leclerc,Sales Manager,Department Sales,Rouen,CDI,Medium
127,Bernard,Bonnin,DBA,Department IT,Toulouse,CDI,Junior
128,Anouk,Coulon,Scientist,Department R&D,Bordeaux,CDI,Senior
129,Margot,David,Facility Manager,Department Facilities,Rouen,CDI,Medium
130,Eugène,Lucas,DBA,Department IT,Nantes,CDI,Junior
131,Thérèse,Paris,Payroll Specialist,Department HR,Montpellier,CDI,Medium
132,Thomas,Nguyen,Receptionist,Department Facilities,Strasbourg,CDI,Medium
133,Jeannine,Collet,Facility Manager,Department Facilities,Rouen,CDD,Junior
134,Joséphine,Perrier,Payroll Manager,Department Finance,Montpellier,Interim,Junior
135,Virginie,Lopez,Sysadmin,Department IT,Toulouse,CDI,Medium
136,Élodie,Blondel,Sales Rep,Department Sales,Strasbourg,CDI,Junior
137,Michèle,Marques,Payroll Specialist,Department HR,Nantes,Stage,Medium
138,Inès,Poirier,Legal Counsel,Department Legal,Bordeaux,CDD,Senior
